dates UTC, chainage (m)
1987-09-11 23:09:17+00:00,214.5
1987-10-06 23:04:03+00:00,238.3
1987-11-14 23:10:35+00:00,229.6
1987-12-16 23:11:05+00:00,246.3
1988-01-17 23:11:38+00:00,202.3
1988-02-18 23:12:11+00:00,211.0
1988-04-22 23:12:40+00:00,189.1
1988-05-24 23:12:58+00:00,194.5
1988-06-09 23:13:03+00:00,189.0
1988-06-18 23:07:20+00:00,193.6
1988-08-28 23:13:18+00:00,208.1
1988-09-22 23:07:26+00:00,219.3
1988-09-29 23:13:09+00:00,223.9
1988-12-02 23:13:03+00:00,219.7
1989-04-09 23:11:39+00:00,170.6
1989-05-27 23:10:52+00:00,158.4
1989-06-12 23:10:29+00:00,166.8
1989-07-14 23:09:53+00:00,167.9
1989-08-08 23:03:35+00:00,194.7
1989-08-24 23:03:14+00:00,178.6
1989-09-09 23:02:50+00:00,196.1
1989-09-16 23:08:20+00:00,187.0
1990-03-11 23:03:10+00:00,182.6
1990-04-12 23:02:42+00:00,192.3
1990-04-21 22:56:59+00:00,184.2
1990-05-23 22:56:55+00:00,181.8
1990-05-30 23:02:41+00:00,177.4
1990-06-15 23:02:40+00:00,177.7
1990-07-01 23:02:40+00:00,194.9
1990-07-10 22:56:51+00:00,179.7
1990-08-02 23:02:31+00:00,178.4
1990-08-11 22:56:43+00:00,198.6
1990-08-18 23:02:28+00:00,180.6
1990-09-03 23:02:21+00:00,197.0
1990-09-19 23:02:18+00:00,205.4
1990-10-21 23:02:03+00:00,216.5
1990-10-30 22:56:10+00:00,228.7
1990-11-15 22:55:49+00:00,214.1
1990-12-08 23:01:48+00:00,226.7
1991-01-09 23:02:34+00:00,225.7
1991-02-03 22:57:15+00:00,228.9
1991-02-10 23:03:13+00:00,208.6
1991-03-14 23:03:52+00:00,203.4
1991-03-23 22:58:18+00:00,205.7
1991-03-30 23:04:07+00:00,217.4
1991-06-02 23:05:15+00:00,228.6
1991-06-27 22:59:49+00:00,210.2
1991-07-20 23:05:55+00:00,214.4
1991-07-29 23:00:12+00:00,216.7
1991-08-14 23:00:14+00:00,228.8
1991-08-21 23:06:06+00:00,230.0
1991-09-06 23:06:20+00:00,243.7
1991-09-15 23:00:15+00:00,244.3
1991-09-22 23:06:28+00:00,239.4
1991-10-08 23:06:34+00:00,241.8
1991-11-25 23:06:48+00:00,247.6
1991-12-27 23:06:50+00:00,240.7
1992-01-05 23:00:59+00:00,253.3
1992-01-12 23:06:46+00:00,219.2
1992-01-28 23:06:51+00:00,229.5
1992-07-06 23:05:37+00:00,204.3
1992-07-22 23:05:24+00:00,204.4
1992-08-07 23:05:12+00:00,213.5
1992-08-16 22:59:16+00:00,224.2
1992-09-17 22:58:47+00:00,228.2
1992-10-10 23:04:02+00:00,218.5
1992-11-27 23:03:35+00:00,222.8
1992-12-06 22:57:57+00:00,221.3
1992-12-22 22:58:06+00:00,225.7
1992-12-29 23:03:56+00:00,224.5
1993-01-14 23:04:09+00:00,233.5
1993-01-23 22:58:28+00:00,229.9
1993-03-03 23:04:36+00:00,185.5
1993-04-04 23:04:45+00:00,211.6
1993-04-20 23:04:54+00:00,227.6
1993-05-06 23:04:58+00:00,194.1
1993-05-15 22:59:13+00:00,200.5
1993-06-07 23:05:04+00:00,217.3
1993-06-16 22:59:15+00:00,215.0
1993-06-23 23:04:59+00:00,226.2
1993-07-25 23:04:53+00:00,250.6
1993-08-10 23:04:54+00:00,236.4
1993-09-11 23:04:52+00:00,248.4
1993-09-20 22:59:03+00:00,240.2
1993-09-27 23:04:49+00:00,236.5
1993-11-14 23:04:27+00:00,238.4
1993-11-30 23:04:24+00:00,255.8
1994-01-01 23:04:07+00:00,264.6
1994-03-22 23:03:00+00:00,224.9
1994-04-23 23:02:26+00:00,213.1
1994-05-09 23:02:08+00:00,218.6
1994-06-10 23:01:32+00:00,223.5
1994-07-12 23:00:43+00:00,231.8
1994-07-28 23:00:16+00:00,224.2
1994-08-13 22:59:52+00:00,233.2
1994-08-29 22:59:29+00:00,268.2
1994-09-14 22:59:05+00:00,261.5
1994-09-30 22:58:37+00:00,269.1
1994-10-16 22:58:07+00:00,251.1
1994-11-17 22:57:00+00:00,250.8
1995-01-04 22:55:28+00:00,229.1
1995-01-20 22:54:53+00:00,239.5
1995-02-05 22:54:15+00:00,241.9
1995-02-21 22:53:36+00:00,222.1
1995-04-10 22:51:39+00:00,223.9
1995-05-12 22:50:14+00:00,224.5
1995-05-28 22:49:30+00:00,206.1
1995-06-29 22:48:02+00:00,224.0
1995-07-15 22:47:18+00:00,235.2
1995-07-31 22:46:36+00:00,258.6
1995-08-16 22:45:52+00:00,257.3
1995-10-03 22:43:30+00:00,238.3
1995-10-19 22:42:37+00:00,259.5
1995-12-06 22:42:56+00:00,242.9
1995-12-15 22:37:50+00:00,250.4
1996-01-07 22:45:16+00:00,294.8
1996-02-01 22:41:15+00:00,263.1
1996-03-11 22:49:39+00:00,234.4
1996-03-20 22:44:27+00:00,234.5
1996-04-05 22:45:04+00:00,234.9
1996-04-12 22:51:41+00:00,234.4
1996-04-21 22:46:03+00:00,233.4
1996-04-28 22:52:39+00:00,236.6
1996-05-07 22:47:24+00:00,209.3
1996-05-23 22:48:19+00:00,223.3
1996-06-08 22:48:48+00:00,223.0
1996-07-01 22:56:12+00:00,219.2
1996-07-10 22:50:53+00:00,223.5
1996-07-17 22:57:02+00:00,212.5
1996-09-03 22:59:37+00:00,223.8
1996-09-12 22:54:20+00:00,226.6
1996-10-21 23:02:09+00:00,233.5
1996-12-08 23:04:26+00:00,223.0
1997-02-10 23:07:23+00:00,219.8
1997-03-14 23:08:41+00:00,210.6
1997-03-23 23:03:14+00:00,214.3
1997-03-30 23:09:17+00:00,209.6
1997-05-10 23:04:56+00:00,199.9
1997-06-27 23:06:37+00:00,212.5
1997-07-20 23:13:10+00:00,215.5
1997-08-05 23:13:42+00:00,217.9
1997-08-21 23:14:13+00:00,228.4
1997-09-06 23:14:41+00:00,234.2
1997-09-22 23:15:08+00:00,243.7
1997-10-08 23:15:35+00:00,248.2
1997-10-24 23:16:01+00:00,264.1
1997-11-25 23:16:47+00:00,258.5
1998-01-28 23:18:17+00:00,245.3
1998-02-13 23:18:37+00:00,229.5
1998-02-22 23:13:00+00:00,232.5
1998-04-18 23:19:33+00:00,227.8
1998-05-20 23:20:01+00:00,237.1
1998-07-23 23:20:50+00:00,241.6
1998-08-17 23:15:13+00:00,221.3
1998-09-25 23:21:20+00:00,219.7
1998-10-11 23:21:20+00:00,222.6
1998-10-27 23:21:23+00:00,249.2
1999-02-16 23:21:46+00:00,214.8
1999-03-04 23:21:41+00:00,220.1
1999-04-21 23:21:15+00:00,203.5
1999-06-24 23:20:23+00:00,185.2
1999-07-18 23:35:18+00:00,196.4
1999-07-19 23:14:28+00:00,193.6
1999-08-03 23:35:25+00:00,202.9
1999-08-04 23:14:26+00:00,200.1
1999-08-11 23:20:09+00:00,210.8
1999-08-12 23:29:37+00:00,213.4
1999-08-19 23:35:22+00:00,210.1
1999-08-20 23:14:14+00:00,214.9
1999-09-04 23:35:27+00:00,210.0
1999-09-12 23:19:18+00:00,189.0
1999-09-13 23:29:10+00:00,201.9
1999-09-20 23:35:25+00:00,204.3
1999-09-28 23:19:01+00:00,199.0
1999-10-06 23:35:33+00:00,191.8
1999-10-15 23:29:42+00:00,214.6
1999-11-16 23:29:37+00:00,205.3
2000-03-30 23:35:02+00:00,210.9
2000-04-15 23:34:49+00:00,198.2
2000-06-02 23:34:24+00:00,181.0
2000-06-27 23:28:24+00:00,217.2
2000-07-04 23:34:07+00:00,199.5
2000-07-20 23:33:53+00:00,202.7
2000-08-05 23:33:37+00:00,206.5
2000-08-14 23:27:49+00:00,220.2
2000-08-21 23:33:31+00:00,209.9
2000-09-22 23:32:58+00:00,248.4
2000-10-01 23:26:46+00:00,228.7
2000-10-08 23:32:53+00:00,234.0
2000-12-20 23:27:10+00:00,232.8
2001-01-12 23:32:59+00:00,223.0
2001-02-13 23:32:56+00:00,227.4
2001-02-22 23:27:07+00:00,218.0
2001-03-01 23:32:50+00:00,231.7
2001-04-11 23:26:51+00:00,184.5
2001-04-18 23:32:38+00:00,189.4
2001-05-04 23:32:34+00:00,180.0
2001-05-13 23:26:38+00:00,187.9
2001-05-29 23:26:30+00:00,195.8
2001-06-14 23:26:19+00:00,205.5
2001-06-21 23:31:58+00:00,202.8
2001-07-07 23:31:53+00:00,184.7
2001-07-16 23:26:04+00:00,205.7
2001-07-23 23:31:47+00:00,199.0
2001-08-08 23:31:30+00:00,210.5
2001-08-17 23:25:09+00:00,203.4
2001-08-24 23:31:17+00:00,191.5
2001-09-09 23:31:06+00:00,226.2
2001-09-18 23:25:10+00:00,221.4
2001-10-11 23:30:39+00:00,221.9
2001-10-20 23:24:38+00:00,208.5
2001-10-27 23:30:49+00:00,235.7
2001-11-05 23:24:44+00:00,251.2
2001-11-12 23:30:59+00:00,239.2
2001-11-28 23:31:04+00:00,233.5
2001-12-30 23:31:06+00:00,246.2
2002-01-08 23:25:29+00:00,244.1
2002-02-09 23:25:14+00:00,244.0
2002-02-16 23:31:23+00:00,238.1
2002-03-29 23:25:08+00:00,224.7
2002-05-16 23:25:27+00:00,231.8
2002-06-24 23:30:57+00:00,214.8
2002-07-03 23:24:46+00:00,220.4
2002-07-10 23:30:55+00:00,209.8
2002-08-11 23:30:41+00:00,233.6
2002-09-12 23:30:24+00:00,233.8
2002-09-21 23:24:30+00:00,239.9
2002-10-14 23:30:13+00:00,242.1
2002-10-23 23:24:32+00:00,244.8
2002-10-30 23:30:18+00:00,251.4
2002-11-08 23:24:13+00:00,242.2
2002-12-01 23:30:46+00:00,225.4
2003-01-02 23:30:51+00:00,228.3
2003-01-18 23:30:59+00:00,233.3
2003-02-12 23:25:25+00:00,234.2
2003-03-07 23:31:15+00:00,226.2
2003-03-23 23:31:09+00:00,232.6
2003-04-17 23:25:05+00:00,200.4
2003-07-05 23:18:46+00:00,207.7
2003-07-21 23:19:03+00:00,226.4
2003-07-29 23:30:58+00:00,226.5
2003-08-22 23:19:37+00:00,213.2
2003-08-30 23:30:52+00:00,239.4
2003-09-16 23:13:52+00:00,228.4
2003-09-23 23:20:08+00:00,231.8
